Fecha,Concepto,Importe,Cuenta,Saldo,Referencia
20/08/2025,Transferencia recibida - RENTA POZOALBERO,832.65,ES02 0128 0730 9101 6000 0605,1957.5270432455518,REF11912
18/08/2025,Pago - COMUNIDAD ARANGUREN 66,-107.89,ES02 0128 0730 9101 6000 0605,1975.6990597548797,REF95332
16/08/2025,Pago - IBI PLATON 30,-239.46,ES02 0128 0730 9101 6000 0605,2589.342176403593,REF38737
16/08/2025,Pago - COMUNIDAD ARANGUREN 66,-97.03,ES02 0128 0730 9101 6000 0605,1854.4954054335876,REF96542
15/08/2025,Pago - SUMINISTROS ELECTRICIDAD,-70.67,ES02 0128 0730 9101 6000 0605,2016.2952911961338,REF90247
14/08/2025,Transferencia recibida - ALQUILER PROP. ARANGUREN 68,1273.3,ES02 0128 0730 9101 6000 0605,2472.63086206653,REF90031
13/08/2025,Transferencia recibida - RENTA ARANGUREN 66,1166.6,ES02 0128 0730 9101 6000 0605,2591.2881513930674,REF37428
12/08/2025,Transferencia recibida - RENTA ARANGUREN 66,1170.23,ES02 0128 0730 9101 6000 0605,2002.1445129033661,REF94078
12/08/2025,Transferencia recibida - DEVOLUCION FIANZA,559.55,ES02 0128 0730 9101 6000 0605,2248.8883867726363,REF67981
10/08/2025,Pago - COMUNIDAD ARANGUREN 68,-126.26,ES02 0128 0730 9101 6000 0605,2482.1439304365276,REF61515
10/08/2025,Pago - SUMINISTROS ELECTRICIDAD,-69.58,ES02 0128 0730 9101 6000 0605,1632.8099424583052,REF11294
09/08/2025,Pago - GASTOS ADMINISTRACION,-45.91,ES02 0128 0730 9101 6000 0605,2420.194246666151,REF89948
06/08/2025,Pago - GASTOS ADMINISTRACION,-38.02,ES02 0128 0730 9101 6000 0605,2447.6139783040876,REF83478
06/08/2025,Transferencia recibida - RENTA ARANGUREN 66,1108.83,ES02 0128 0730 9101 6000 0605,1688.296394450025,REF49455
03/08/2025,Transferencia - REPARACION FONTANERIA,-88.12,ES02 0128 0730 9101 6000 0605,2396.95425865588,REF34783
03/08/2025,Transferencia recibida - ALQUILER PROP. ARANGUREN 68,1220.62,ES02 0128 0730 9101 6000 0605,2413.090136296998,REF44256
03/08/2025,Transferencia recibida - ALQUILER PROP. ARANGUREN 68,1242.31,ES02 0128 0730 9101 6000 0605,1941.7267761425214,REF27419
02/08/2025,Pago - COMUNIDAD ARANGUREN 66,-99.87,ES02 0128 0730 9101 6000 0605,2334.335608455274,REF67359
02/08/2025,Transferencia recibida - RENTA ARANGUREN 66,1170.63,ES02 0128 0730 9101 6000 0605,2389.266077684764,REF24188
01/08/2025,Pago - IBI PLATON 30,-251.33,ES02 0128 0730 9101 6000 0605,2447.89694499571,REF77027
30/07/2025,Pago - SEGURO HOGAR MULTIPROPIEDAD,-187.19,ES02 0128 0730 9101 6000 0605,2290.7349920352053,REF45840
27/07/2025,Pago - SUMINISTROS ELECTRICIDAD,-64.4,ES02 0128 0730 9101 6000 0605,2354.1527179917694,REF18448
27/07/2025,Pago - COMUNIDAD ARANGUREN 66,-90.49,ES02 0128 0730 9101 6000 0605,1757.2564458468278,REF53566
26/07/2025,Transferencia recibida - ALQUILER PROP. ARANGUREN 68,1260.41,ES02 0128 0730 9101 6000 0605,2384.570418194474,REF92172
24/07/2025,Transferencia - REPARACION FONTANERIA,-81.77,ES02 0128 0730 9101 6000 0605,1647.1934278551735,REF15655
