Fecha,Concepto,Importe,Cuenta,Categoria,Referencia
23/08/2025,Saldo disponible:,2123.98,ES02 0128 0730 9101 6000 0605,Saldo,PATTERN3_L3
23/08/2025,SALDO ANTERIOR:,1335.43,ES02 0128 0730 9101 6000 0605,Saldo,PATTERN3_L15
23/08/2025,SALDO ACTUAL:,2123.98,ES02 0128 0730 9101 6000 0605,Saldo,PATTERN3_L17
15/08/2025,TRANSFERENCIA RECIBIDA ALQUILER AGOSTO,850.0,ES02 0128 0730 9101 6000 0605,Transferencia,PATTERN1_L7
12/08/2025,RECIBO DOMICILIADO COMUNIDAD,-120.5,ES02 0128 0730 9101 6000 0605,Recibo,PATTERN1_L8
10/08/2025,BIZUM RECIBIDO DE JUAN MARTINEZ,25.0,ES02 0128 0730 9101 6000 0605,Transferencia,PATTERN1_L9
08/08/2025,TARJETA COMPRA MERCADONA,-65.3,ES02 0128 0730 9101 6000 0605,Tarjeta,PATTERN1_L10
05/08/2025,RECIBO LUZ ENDESA,-89.45,ES02 0128 0730 9101 6000 0605,Recibo,PATTERN1_L11
03/08/2025,NOMINA EMPRESA XYZ SL,1200.0,ES02 0128 0730 9101 6000 0605,Ingreso,PATTERN1_L12
01/08/2025,COMISION MANTENIMIENTO CUENTA,-12.0,ES02 0128 0730 9101 6000 0605,Servicios,PATTERN1_L13
